;case_id;activity;timestamp;source
0;mail income;2015-05-07 22:00:00 UTC;"[""0";"n/a""]"
0;mail valid;2015-05-07 22:00:00 UTC;"[""0";"n/a""]"
0;mail valid;2015-05-07 22:00:00 UTC;"[""0";"n/a""]"
0;mail valid;2015-05-07 22:00:00 UTC;"[""0";"n/a""]"
0;initialize;2015-06-10 09:16:28 UTC;"[""fb5fa8""]";
0;initialize;2015-06-10 09:16:29 UTC;"[""fb5fa8""]";
0;begin editing;2015-06-10 09:16:29 UTC;"[""fb5fa8""]";
0;finish editing;2015-06-10 09:16:29 UTC;"[""fb5fa8""]";
0;begin editing;2015-06-15 11:01:05 UTC;"[""dde669""]";
0;save;2015-06-15 11:01:25 UTC;"[""dde669""]";
0;insert document;2015-06-15 11:01:38 UTC;"[""dde669""]";
0;save;2015-06-15 11:03:13 UTC;"[""dde669""]";
0;save;2015-07-20 09:59:09 UTC;"[""dde669""]";
0;save;2015-07-20 11:03:30 UTC;"[""dde669""]";
0;save;2015-07-20 11:04:14 UTC;"[""dde669""]";
0;save;2015-07-20 11:04:34 UTC;"[""dde669""]";
0;save;2015-07-20 11:05:39 UTC;"[""dde669""]";
0;save;2015-07-20 11:07:05 UTC;"[""dde669""]";
0;finish editing;2015-07-20 11:07:28 UTC;"[""dde669""]";
0;initialize;2015-07-24 19:10:08 UTC;"[""Reference alignment processor""]";
0;performed;2015-07-24 19:10:08 UTC;"[""Reference alignment processor""]";
0;performed;2015-09-15 17:31:11 UTC;"[""727350""]";
0;initialize;2015-10-26 12:27:10.390 UTC;"[""Document processing automaton""]";
0;begin editing;2015-10-31 04:10:31.629 UTC;"[""Processing automaton""]";
0;calculate;2015-10-31 04:10:35.230 UTC;"[""Processing automaton""]";
0;save;2015-11-05 10:01:26.582 UTC;"[""76f30e""]";
0;calculate;2015-11-05 10:01:37.777 UTC;"[""76f30e""]";
0;finish editing;2015-11-05 10:01:39.931 UTC;"[""76f30e""]";
0;initialize;2015-11-06 10:21:27.376 UTC;"[""Document processing automaton""]";
0;begin editing;2015-11-10 16:17:50.045 UTC;"[""727350""]";
0;calculate;2015-11-10 16:17:57.085 UTC;"[""727350""]";
0;begin editing;2015-11-11 23:21:54.897 UTC;"[""Processing automaton""]";
0;calculate;2015-11-11 23:21:57.308 UTC;"[""Processing automaton""]";
0;finish editing;2015-11-11 23:21:58.207 UTC;"[""Processing automaton""]";
0;begin editing;2015-11-13 16:47:18.964 UTC;"[""Processing automaton""]";
0;calculate;2015-11-13 16:47:21.771 UTC;"[""Processing automaton""]";
0;finish editing;2015-11-13 16:47:22.761 UTC;"[""Processing automaton""]";
0;calculate;2015-11-21 01:46:57.811 UTC;"[""Processing automaton""]";
0;calculate;2015-11-23 10:34:49.398 UTC;"[""Processing automaton""]";
0;begin editing;2015-12-03 02:12:47.556 UTC;"[""Processing automaton""]";
0;calculate;2015-12-03 02:12:50.006 UTC;"[""Processing automaton""]";
0;finish editing;2015-12-03 02:12:50.773 UTC;"[""Processing automaton""]";
0;decide;2015-12-03 10:39:26.365 UTC;"[""c98a4a""]";
0;calculate;2015-12-03 15:14:05.938 UTC;"[""727350""]";
0;finish editing;2015-12-03 15:14:07.318 UTC;"[""727350""]";
0;decide;2015-12-05 13:00:02.673 UTC;"[""520882""]";
0;begin payment;2015-12-16 10:55:49.972 UTC;"[""DP-Z""]";
0;abort payment;2015-12-16 15:43:22.109 UTC;"[""DP-Z""]";
0;begin payment;2015-12-17 20:17:23.983 UTC;"[""DP-Z""]";
0;abort payment;2015-12-18 12:23:26.222 UTC;"[""DP-Z""]";
0;begin payment;2015-12-18 20:49:16.018 UTC;"[""DP-Z""]";
0;finish payment;2016-02-18 06:56:22.774 UTC;"[""DP-Z""]";
1;mail income;2015-05-07 22:00:00 UTC;"[""0";"n/a""]"
1;mail valid;2015-05-11 22:00:00 UTC;"[""0";"n/a""]"
1;mail valid;2015-05-11 22:00:00 UTC;"[""0";"n/a""]"
1;mail valid;2015-05-11 22:00:00 UTC;"[""0";"n/a""]"
1;initialize;2015-06-12 09:52:18 UTC;"[""Document processing automaton""]";
1;begin editing;2015-06-12 09:52:18 UTC;"[""Document processing automaton""]";
1;initialize;2015-06-12 09:52:20 UTC;"[""Document processing automaton""]";
1;begin editing;2015-06-12 09:52:20 UTC;"[""Document processing automaton""]";
1;finish editing;2015-06-12 09:52:20 UTC;"[""Document processing automaton""]";
1;insert document;2015-07-09 13:52:57 UTC;"[""167893""]";
1;save;2015-07-09 13:52:59 UTC;"[""167893""]";
1;save;2015-07-09 13:55:59 UTC;"[""167893""]";
1;initialize;2015-07-24 19:22:19 UTC;"[""Reference alignment processor""]";
1;performed;2015-07-24 19:22:19 UTC;"[""Reference alignment processor""]";
1;finish editing;2015-10-12 13:21:59 UTC;"[""167893""]";
1;performed;2015-10-22 06:05:15 UTC;"[""727350""]";
1;initialize;2015-10-26 10:54:37.660 UTC;"[""Document processing automaton""]";
1;begin editing;2015-10-30 14:28:17.895 UTC;"[""Processing automaton""]";
1;calculate;2015-10-30 14:28:25.587 UTC;"[""Processing automaton""]";
1;finish editing;2015-10-30 14:28:30.035 UTC;"[""Processing automaton""]";
1;initialize;2015-11-06 08:02:33.131 UTC;"[""Document processing automaton""]";
1;begin editing;2015-11-09 13:01:59.640 UTC;"[""727350""]";
1;calculate;2015-11-09 13:02:17.175 UTC;"[""727350""]";
1;begin editing;2015-11-11 14:45:16.190 UTC;"[""c7c478""]";
1;calculate;2015-11-11 14:45:21.805 UTC;"[""c7c478""]";
1;finish editing;2015-11-11 14:45:24.197 UTC;"[""c7c478""]";
1;begin editing;2015-11-13 14:07:46.020 UTC;"[""Processing automaton""]";
1;calculate;2015-11-13 14:07:50.854 UTC;"[""Processing automaton""]";
1;finish editing;2015-11-13 14:07:52.971 UTC;"[""Processing automaton""]";
1;calculate;2015-11-21 06:09:15.219 UTC;"[""Processing automaton""]";
1;calculate;2015-12-01 07:49:28.329 UTC;"[""727350""]";
1;calculate;2015-12-01 09:58:05.851 UTC;"[""727350""]";
